,cooling,0.1-mean,0.1-max,0.1-h0,0.1-h3,0.1-h6,0.1-h8,0.1-h9,0.1-h12,0.1-h15,0.1-h16,0.1-h20,0.25-mean,0.25-max,0.25-h0,0.25-h3,0.25-h6,0.25-h8,0.25-h9,0.25-h12,0.25-h15,0.25-h16,0.25-h20,0.5-mean,0.5-max,0.5-h0,0.5-h3,0.5-h6,0.5-h8,0.5-h9,0.5-h12,0.5-h15,0.5-h16,0.5-h20,0.75-mean,0.75-max,0.75-h0,0.75-h3,0.75-h6,0.75-h8,0.75-h9,0.75-h12,0.75-h15,0.75-h16,0.75-h20,0.9-mean,0.9-max,0.9-h0,0.9-h3,0.9-h6,0.9-h8,0.9-h9,0.9-h12,0.9-h15,0.9-h16,0.9-h20,Tmean,Tmax,Tmin,sun_rad_mean,wind_mean,RH_mean,actual_med_sp,scheduled_sp,mean_zone_temp,scheduled_sp_bin,med_sp_bin,electricity
2021-06-16,0.7518250468292093,69.76012003661948,70.08453457968575,70.46709369931902,70.33893878300984,69.48252515792846,69.96798440933227,70.08453457968575,69.78588605244954,69.59033009847005,69.61951527095977,69.95334665934244,70.96017454586041,71.18812172072275,71.65121363231114,71.47547954604738,70.24525955745152,70.90410648073468,71.18812172072275,70.83604784011841,70.98682693980989,70.99248587063381,71.32180786132812,72.14995578927726,72.42356304930243,73.06137493678501,72.94733204614548,71.98665135247367,72.17375019618443,72.41498231887817,72.05442939485823,72.0852268763951,72.02316066196987,73.07120844523112,73.78644710798112,74.17574069840569,74.49041981697081,74.41839742660522,73.08513240814209,73.81665137835911,73.80716950552804,73.5859454018729,73.73129258837018,73.76040247508458,74.80100011825562,74.59501651495513,75.0371895090739,75.48195652280535,75.40654515856788,73.99630775451661,74.80351713725499,74.88049951553344,74.39254977362496,74.36460670743669,74.49221320833479,75.71280122121175,70.88695652173914,92.1,50.6,305.7826086956522,3.7217391304347824,55.30434782608695,74.69237587187025,74.0,72.10536586328412,False,False,0.1658890595814634
2021-06-17,0.8604945002687918,69.80275139504009,70.02170943396432,70.46827908833822,71.36365998586018,70.12788339433216,69.85729493549891,70.02170943396432,69.76528602600098,69.57938883168357,69.99753772735596,70.02419258571805,71.56058108915413,71.98711265836442,71.92946542104085,72.12948331605821,71.22320478303092,70.98185014724731,71.25308259782337,71.43799640791757,71.72694309268678,71.91839610281446,72.02154001508441,73.06714179288774,73.5745359148298,73.78204994201661,73.61453381038848,72.11695671081543,72.13517770313081,72.47630011240642,72.93765612556821,73.32466930207752,73.38748038155691,73.84390325092133,74.5604853769944,75.40165433883666,75.07804985046387,75.16392714182535,73.50856351852417,73.82719961802164,74.15741906847272,74.33802490234376,74.68362813886705,74.88899072692507,75.80751962661742,75.5168409612633,76.22845924377441,76.25497945149739,76.0037815093994,74.3691500345866,74.67765586853027,75.05936058044433,75.38528025309245,75.68143277486166,75.83425900618235,76.73335912068684,76.15833333333333,99.9,54.3,349.4583333333333,3.4375,54.66666666666666,75.69724782307942,76.0,72.76811425698433,True,True,0.165840442037253
2021-06-18,0.7562517330430261,69.91030533412146,70.63192189080374,70.70250254494803,71.42800280707223,70.19612891333443,70.05771379652478,70.63192189080374,69.95826688766479,69.62911897659302,69.55367109298706,70.94834826333182,71.60822522526696,72.06464668682644,72.30440213566735,72.51181234632219,71.38779213769095,71.37918912796746,71.80981295449394,71.53888656071254,71.52060464450291,71.56367771966117,72.52758250917708,73.28641537976644,73.67433888571603,74.84348176320394,74.43455098470052,72.74345067342122,72.85340016682943,73.05740299224854,73.19666535513741,73.37155403409685,73.43333300635928,74.44099985758464,74.85795758186825,75.485374101003,76.34755264236814,75.87297598520915,73.95934397379557,74.40079898834229,74.61265443166099,74.62002461751302,75.02072395597186,75.11742445627848,75.88824373199826,75.96458363797929,76.18738975524903,77.27251308441161,76.65979623158773,75.02085660298664,75.50027248382568,75.82213961283367,75.92509943644205,76.13521898905435,76.18738975524903,76.52201039632162,71.84583333333333,91.0,54.2,342.9583333333333,3.391666666666667,63.333333333333336,75.85099792480469,76.0,72.94669718360574,True,True,0.16255309485795807
2021-06-19,0.2193690366548737,70.54573291861821,71.4599201474871,71.99808246612548,71.9906729561942,71.66862510953631,71.26392065502347,71.05204338346209,70.95964929035732,69.97541937146867,69.83236345291138,70.15472906657628,72.43523114200623,73.21921373776027,73.11492408797855,72.81869513647896,72.48907201630729,72.93703475452604,73.14959910937718,72.64295404297965,72.01002938406808,71.95708225795201,72.12649387405033,75.87790978050931,76.28389944803146,74.86447175343831,74.7492504119873,74.3680996576945,75.04000322705224,75.34114120818757,75.8640266418457,76.20369213195075,76.28389944803146,75.62835967654274,77.61436873236273,78.29835984820411,76.26192560195923,76.12542454401652,75.8766334851583,76.52223945572263,76.87332147381682,77.38593979790097,78.06701383590698,78.18808061735972,78.08679874283928,79.19031418293243,80.24373678570701,77.05751004536947,76.94340352376302,76.85627021789551,77.66805281956991,77.95519674119495,79.19921087900798,79.3920072555542,79.69228541510446,79.78748158772787,66.22500000000001,80.7,53.7,342.5416666666667,4.154166666666667,74.95833333333333,74.35275104310777,74.0,75.12525989952523,False,False,0.12076448247857785
2021-06-20,0.1878813470580574,70.61740894332765,71.43796949386596,71.3353999900818,71.55718601771764,71.57936491285051,70.97097013745989,71.03348214285714,71.1989633060637,69.98370307649886,69.89965099334717,70.80380068461099,72.3706670174523,73.18877611841474,72.73224657603672,72.36267001288277,72.48240157536097,72.53792803628104,72.8266520840781,72.73527612004962,71.99468609491984,71.99790621257964,72.24390691802614,75.44349183317215,75.94257525035313,74.71463200705392,74.43623794828142,74.42352583748954,74.39932073865619,74.74678530011857,75.33130352837699,75.77832478568666,75.79161398751395,75.2198042914981,78.21717672745386,78.90824062483651,77.65096483911786,76.9607274827503,76.63381161008563,76.7328121321542,77.60428585324969,78.15440835271562,78.47533395403907,78.58070652825492,78.65391414506095,79.62646428221748,80.81120222454979,78.76611288615636,78.41671733311244,78.26272909981864,78.28629745755876,78.61100007465907,79.3644480569022,79.88027434757778,80.09664271218436,80.34041921070644,64.83749999999999,74.1,54.8,336.375,4.133333333333334,78.83333333333333,74.14449988471138,74.0,75.15882777558865,False,False,0.11918648010605842
2021-06-21,0.505456101322558,69.78777110942264,70.02301956176758,70.56094996134439,71.29449551900228,70.41240072613671,69.55266897138658,69.85636942545572,70.0098981221517,69.84946947733562,69.68897216796876,69.69130395253501,71.40170756654133,71.62675827571323,72.32210496493748,72.1171993414561,71.43276158060345,70.8578005472819,71.036771492731,71.59985062281291,71.50415850366866,71.50157124201456,71.87060063680013,72.54597350264352,72.83675117492675,74.5994107382638,73.15273080553327,72.3004451797122,72.01521251769293,72.06190102895101,72.516499710083,72.73520056406656,72.70705401102701,73.16674963633218,74.23956453232539,74.79928265299117,77.67210742405483,74.71869213240487,73.28116792270116,72.90708817754472,73.67577638626099,74.34283079419818,74.3774804864611,74.55004596710205,75.083805395308,75.28582047031038,75.66598393031529,79.72551464080811,75.69081348419189,74.52841265542168,73.9099675714402,75.18222649438042,75.24300718307495,75.44021691095261,75.45680063792636,75.97236020224435,66.49583333333332,78.9,59.8,338.7916666666667,5.325,71.79166666666667,75.78350257873535,76.0,72.48430000099597,True,True,0.16655287135601066
2021-06-22,0.442583159253176,69.6928131074754,70.14796264648436,70.26887100219727,70.71851467405047,70.26183309555054,69.97278419494629,69.98521989186605,69.89327053070069,69.52668093726749,69.4087083307902,69.37927961985271,71.20727833509444,71.51369693619864,71.87060028711954,71.90051991144816,71.26706994374594,70.98544985453287,71.18732255072821,71.38752524058025,71.2256294886271,71.16037618319194,71.55785061518351,72.34054223923455,72.60874964396159,73.54303541637603,73.05391654968261,72.21719074249268,72.07054971059164,72.06709887186686,72.18814900716146,72.60874964396159,72.57964916229247,72.6994995435079,74.0932553643272,74.44883687155587,75.24138488088336,74.65402644475301,73.45527528127035,73.60844655263992,73.80495425633022,74.0301862126305,74.09039627483914,74.22293645995003,74.66600669906254,75.27171093948304,75.49266034535,76.31471454075405,76.14848637717111,74.79529369354249,75.0419674428304,75.1006157875061,75.24426070622036,75.26854306720551,75.49266034535,75.54145353317261,66.66666666666667,75.9,56.9,313.6666666666667,6.7375,68.41666666666667,75.88400268554688,76.0,72.33628944602866,True,True,0.16182139452532604
2021-06-23,0.4800782731538124,69.2917053217358,69.71025299072267,70.08659033457438,70.56601064500354,70.24720991770427,69.26522094726563,69.53965574900309,69.30680028279622,69.13700012207032,69.03642915089925,69.80947267078218,70.5372689495011,70.6821655591329,71.69314963022867,71.69442361195883,71.0651749610901,70.57542594273886,70.57692422866822,70.40975023905435,70.45145076115926,70.47470026016235,71.11982877368018,71.95175271639748,72.0015500386556,73.26408917563302,72.85040136973063,71.98657144818986,71.84263146718342,71.92216555277506,71.95924854278564,71.96667753855387,71.9693000157674,72.0794943582444,73.08743065463172,73.45294971466065,74.76393677393595,74.32236064275105,73.02607170513699,72.62202507654825,73.04997561772664,73.00137548446655,72.95607560475666,72.99042533238728,73.49799807866415,74.06757576942444,74.27586496988933,75.88888601575579,75.89635965983072,74.31631202697754,73.72164019266764,74.265621287028,74.09130705515544,74.07559979756674,73.89834111531576,74.4562149556478,66.10833333333333,73.6,59.8,341.3333333333333,5.675,67.5,74.1288759443495,74.0,71.63750553701162,False,False,0.1658618096661659
2021-06-24,0.3542039231718251,69.33339280605317,69.58404664993287,70.19095416750227,70.46107850392659,69.71736090523856,69.17678334372384,69.1883906173706,69.41460049038841,69.4216281073434,69.36756368364607,69.89907526288714,70.45184138597004,70.75643137523106,71.31743721507846,71.53715073267618,70.45435638427735,70.02010821387881,70.1081421307155,70.42696998914083,70.62438419886998,70.55650539171128,71.03412516911825,71.75534082140241,71.94416613805862,72.87291800181072,72.87489282517205,71.76237381526403,71.15921421051026,71.31213897977557,71.80822531836374,71.94416613805862,71.91102679570517,71.97932871863955,72.73372701028036,73.1639100074768,74.0538443111238,74.11775156656901,72.74319304284596,72.08206730115981,72.18783054351806,72.81742086410522,72.85422449111938,72.86075061162313,73.16442429224651,73.71586701764001,74.03460332234701,74.99143283843995,75.0325399271647,73.51863917032878,73.14332120895386,73.20224150339762,73.63540532430012,73.88411009470623,73.85714167277018,74.28302003224691,64.1125,73.4,55.8,298.5833333333333,5.404166666666666,70.54166666666667,74.13800048828125,74.0,71.4771947497557,False,False,0.1639083293985992
2021-06-25,0.256525868642617,69.92822928595164,70.20639094943093,70.00171570914132,70.03268124716622,69.57549871535528,69.35955260140555,69.55576994578044,69.98842206682477,70.11181870869228,69.96504823139736,70.64724476768856,70.90379755099615,71.23281004542395,70.90617917832874,71.07489270709809,70.35623625346592,70.1400502204895,70.27703402610052,70.90489927927652,71.21420482226782,71.17852633340019,71.47970611708504,72.40087310056838,72.66915744599842,72.47311831428891,72.37856156485421,71.55625062670026,71.88226386478969,71.93659430004301,72.40801862989153,72.66915744599842,72.60687569209509,72.8195428348723,73.63124471940692,74.03084643681845,73.58404947916665,73.63936392466226,72.67670400483269,72.70774965286256,73.01179990768432,73.58159177416847,73.93100964228313,73.9440860407693,74.35328744252523,75.04299527993278,76.26680018107096,74.49790027618408,74.58247931162516,73.70134556906564,73.71269041697185,74.00012396494547,74.56741764704387,75.43687989552815,75.7661738368443,75.70541039784749,63.583333333333336,72.9,57.3,315.875,4.366666666666666,73.75,76.11537159813774,76.0,72.23641535400603,True,True,0.15949492350402417
