,cooling,0.1-mean,0.1-max,0.1-h0,0.1-h3,0.1-h6,0.1-h8,0.1-h9,0.1-h12,0.1-h15,0.1-h16,0.1-h20,0.25-mean,0.25-max,0.25-h0,0.25-h3,0.25-h6,0.25-h8,0.25-h9,0.25-h12,0.25-h15,0.25-h16,0.25-h20,0.5-mean,0.5-max,0.5-h0,0.5-h3,0.5-h6,0.5-h8,0.5-h9,0.5-h12,0.5-h15,0.5-h16,0.5-h20,0.75-mean,0.75-max,0.75-h0,0.75-h3,0.75-h6,0.75-h8,0.75-h9,0.75-h12,0.75-h15,0.75-h16,0.75-h20,0.9-mean,0.9-max,0.9-h0,0.9-h3,0.9-h6,0.9-h8,0.9-h9,0.9-h12,0.9-h15,0.9-h16,0.9-h20,Tmean,Tmax,Tmin,sun_rad_mean,wind_mean,RH_mean,actual_med_sp,scheduled_sp,mean_zone_temp,scheduled_sp_bin,med_sp_bin,electricity
2021-06-16,1.986405421051649,70.13202796242612,70.70342281523205,70.9007140531994,70.65186204092844,69.92104543776739,70.58056714375813,70.70342281523205,69.9762344868978,69.93011544363839,69.92750753675189,70.01586715698242,70.87748288921966,71.30166460673014,71.79783350626627,71.4208685193743,70.64566699436733,71.23315414247058,71.30166460673014,70.79033317565919,70.61103561946324,70.71859401521229,70.8583091826666,71.9883684186854,72.14936880384172,72.89533500671386,72.57610897790818,71.58599955240885,72.14936880384172,72.12391789754231,71.73295173645019,72.0093339284261,72.02233454386393,72.04149945576985,73.51167102654775,73.7760831333342,74.22750040690104,73.87976608276367,72.80549977620443,73.51066614786784,73.56554781595867,73.36916618347168,73.43683191935222,73.51167761484783,73.53341636657714,75.00083855237716,75.25232684390448,75.31974668956939,75.08512177603586,74.08139956156413,75.08755244300478,75.20115729740688,74.58957186381022,74.9974954877581,75.02240483238583,74.60165985470726,70.88695652173914,92.1,50.6,305.7826086956522,3.7217391304347824,55.30434782608695,74.65145995881822,74.0,72.23303662807976,False,False,0.28540998476648716
2021-06-17,2.276703601593438,70.69114311711654,71.04939492180233,71.26029863993327,71.24029380435036,70.45354392642066,70.39190663710437,70.43329891897169,70.52935001009986,70.66980492811936,70.97684325263614,71.08710195450556,72.16042042517982,72.65944146201724,72.46916834513347,72.37781050545829,71.47710649399531,71.23183207738967,71.30807133629209,72.15610742114839,72.52555138514592,72.59190459024339,72.5415541194734,73.30995763042058,73.9509286789667,73.60299886067709,73.46632110050746,72.12151210421608,71.98177434830438,72.09771481468565,73.33661803290957,73.93383130922422,73.94593142554874,73.76865433284215,74.11659957854401,74.71323898406256,74.97295266106016,74.80100008646647,73.19292841411772,73.00616298891462,73.01543665472067,74.14736333120437,74.47309179445762,74.54478597640991,74.00107739312308,75.4259239547696,76.25041165851411,75.90496513366699,75.56495098840622,74.26002700805664,74.2464650737286,74.46663508614867,75.39474255334764,75.84854410960997,75.96908007939656,75.41954752422514,76.15833333333333,99.9,54.3,349.4583333333333,3.4375,54.66666666666666,76.07932990551994,76.0,73.12669048785226,True,True,0.2938909781210729
2021-06-18,2.265763653103625,71.11184890126425,71.2691466376895,72.6350008392334,72.31802902948289,71.54712026868548,71.08843504042852,71.01859998430524,71.04954291752406,71.20539545331683,71.2691466376895,70.8195164471581,72.40430803336794,72.77883332570394,73.85055314926873,73.67804118565151,72.48059553418841,72.11917906261627,72.06562524068923,72.23741195769537,72.6377326284136,72.77883332570394,72.3836792991275,73.65141643645272,73.96302416665213,74.93378710065569,74.74459630875361,73.37001224699475,73.1283332824707,73.32016626993814,73.57020162854876,73.96302416665213,73.94351192656018,73.51749941507975,74.242574099132,74.67350114186604,76.06495247795468,75.79299920399984,73.97208899543399,74.00841643015544,74.02732729684739,74.05415468215942,74.61378683362688,74.67350114186604,73.95058320363363,75.63035337205916,76.02016112554641,77.21804155077253,76.76897237141927,74.84801967439196,74.9756640461513,75.36714249747139,75.70663739522298,75.84683202834357,76.02016112554641,75.19980008443196,71.84583333333333,91.0,54.2,342.9583333333333,3.391666666666667,63.333333333333336,76.44999694824219,76.0,73.38117205217581,True,True,0.2844250146701819
2021-06-19,1.547051146940544,70.96964623027378,71.24494640713647,72.27180081685384,71.99756490434919,71.475322870527,71.24494640713647,71.17665568397159,70.84812357221331,70.9579692350115,70.99895879473004,70.39929384504046,72.01206312860761,72.28259587514968,73.53148735591344,73.35053516569592,72.44820297786168,72.28259587514968,72.26706626982917,71.90519672575451,72.0342206182934,72.04670803433373,71.72281499590193,72.92375118845986,73.47309533073789,74.52478575933547,74.30995221819197,73.27034573327927,73.40192794799805,73.47309533073789,72.70998877570742,72.91274964468819,72.94648779914493,72.31016743977864,74.2769615237675,74.62905441919963,75.63333314259847,75.25717869259063,73.97667759032477,74.02113690603346,73.97286867868333,74.0910951069423,74.56886956805275,74.60596504665557,74.20976136979601,75.4855210679675,75.8494757788522,76.61407520839145,76.20784964425224,74.88413397471109,75.10356176103865,75.30974982125419,75.4062760761806,75.46960966927665,75.8494757788522,75.33355724879674,66.22500000000001,80.7,53.7,342.5416666666667,4.154166666666667,74.95833333333333,75.06513818105061,74.0,73.10169413070406,False,True,0.26215502557045767
2021-06-20,1.3741904531787084,70.26997159291828,70.42280075073242,71.5965758968535,71.51116314479283,70.57656697591145,70.14685300372896,70.16028095790318,70.29396751403809,70.42280075073242,70.40763417561848,70.04443400065104,71.54001890174926,71.76966616312663,72.56471386409942,72.24078731990996,71.46288008008685,71.19102978479295,71.27453454789662,71.53016516367595,71.6638329188029,71.75199998219807,71.38541590372722,72.09748543557667,72.25733337402343,73.63559450422014,73.2154299054827,72.19499969482422,71.98273799532936,72.00650062561036,72.0518347422282,72.17133382161458,72.25733337402343,71.95233370463053,73.69542637552534,74.11833375295004,74.56441757111322,74.10451256888254,73.30782695497786,72.9488670984904,73.30063611893426,73.57158241271972,73.98628368377686,74.11833375295004,73.94691518147786,75.1552741208152,75.73093348185222,75.77517985389346,75.46557803017753,74.58600105285645,74.35573404947917,74.699067422776,75.3122333017985,75.130966796875,75.39316739400228,75.23976600646972,64.83749999999999,74.1,54.8,336.375,4.133333333333334,78.83333333333333,74.8652795155843,74.0,72.4842481064245,False,False,0.2616771196706428
2021-06-21,1.5079553972843858,69.95082460236928,70.18300485883441,70.90856712341309,70.96475234258743,70.32926699320475,69.66302870977493,69.97856017884754,70.0667147463844,70.13458647410076,69.27226626078289,70.03841057368687,71.31171332616655,71.68391027450562,71.93947032746814,71.96283435821533,71.13069596063522,70.84316040220715,71.24536255427769,71.54528565179734,71.68391027450562,70.7681547891526,71.35799929300944,72.17062061400641,72.45383487883069,72.76968850635348,72.83221445537748,71.87933349609375,71.87266671316965,71.97392856052943,72.17492896488734,72.37361906142462,72.0346664428711,72.29683418273926,73.20273061177087,73.7606064932687,74.11691595713299,73.9243330637614,72.78808314005533,72.0922506650289,72.55465561094738,73.19088621139525,73.72874363944644,73.36132112230574,73.4073329925537,74.28738472968813,75.17394951230004,75.46240086873374,75.38877033778599,73.46455692109608,73.12197337014335,73.68361151559012,74.19174573262532,74.3829577654884,74.32543132418678,74.91426739647275,66.49583333333332,78.9,59.8,338.7916666666667,5.325,71.79166666666667,75.88805728488498,76.0,72.1540020308629,True,True,0.28446252154652246
2021-06-22,1.1522232925877505,70.31723913964771,70.48231481461299,70.61756746927897,70.68303965613956,69.95729587736584,70.09906720479329,70.09798229035877,70.43133315676735,70.3119476045881,70.37204091389974,70.43301084609259,71.39782799236359,71.62149988810222,71.80666554768881,71.75102389199392,70.93944017319453,71.10900014241537,71.19966672261556,71.40035616556804,71.47293997265044,71.51833318074544,71.4398323059082,72.24289447693597,72.60557234627859,72.85938143048968,72.7473331451416,71.90929742540632,71.97816619873046,72.00700009663899,72.20783424377441,72.25604750315348,72.40212035406203,72.24415459405807,73.58088515902323,74.01133257548014,74.06261920020694,73.81532116844541,72.92216695149739,72.81583251953126,73.05816663106282,73.77283223470053,73.81228489648728,73.8993683497111,73.51149927775066,75.05332989828928,75.46716608683268,75.12786654154459,75.06089520772298,74.22452388218471,74.41103388468424,74.45083409627279,75.08333353678385,75.16833305358887,75.46716608683268,75.11766591389973,66.66666666666667,75.9,56.9,313.6666666666667,6.7375,68.41666666666667,75.9000015258789,76.0,72.43720956492261,True,True,0.2823734108027685
2021-06-23,1.3184375229343517,69.82748167809986,69.97083600725446,70.81632431756883,70.8957006072998,70.32735308329265,69.97083600725446,69.92350105285645,69.91411404564266,69.927233988444,69.66346674601236,69.88783383687337,70.5205279917944,70.72950032552083,72.03807193211146,71.86683247884115,71.16227370670863,70.72950032552083,70.50266660054525,70.53899904886882,70.64533322652181,70.46900049845378,70.51166610717773,71.81647838865008,72.05866775512695,72.94419077010382,72.89869063241142,72.18833376566569,72.05866775512695,71.6460948399135,71.76616668701172,71.89699948628743,71.81700007120769,71.76466687520346,72.96959424624367,73.15349973042805,74.20133297329858,74.1198351542155,73.22325013478597,72.9771666208903,72.90750096638997,73.06963118598574,73.07267822992233,72.99700024922689,72.90629738398961,74.43205516663808,74.82953412373861,75.21309012458437,75.16540008544922,74.50276702699207,74.42615237281436,74.48886721293131,74.37070042928059,74.36521952311197,74.3151671854655,74.30426694234212,66.10833333333333,73.6,59.8,341.3333333333333,5.675,67.5,74.37534697850545,74.0,71.86934382452607,False,False,0.2826815005410215
2021-06-24,1.0638230104865525,69.69385091796754,69.90798104967391,70.4852007039388,70.2953292229062,69.65198144640242,69.66720030466715,69.51245254516601,69.82680064246769,69.72965264819916,69.59390728723436,69.54372387114024,70.42469366088746,70.58380799066452,71.16163238343738,71.06216557820638,70.40825059073312,70.24085732414609,70.05123877752395,70.45733388264973,70.51983172098795,70.52271401541574,70.19050114949545,71.65964357512338,71.9886666615804,72.48333613077799,72.37666773114886,71.56457144419352,71.27417875017439,71.11499900817871,71.54820189703078,71.92811951410204,71.90790521530877,71.67683359781901,72.78418663872613,73.22816683451335,73.68299891153971,73.46399993896485,72.77284534091041,72.51450093587239,72.25316683451335,72.6955010732015,72.96266632080078,72.94933369954427,72.83449923197429,74.29847079610069,74.66050053914388,74.92613416035971,74.82860046386719,73.7283660670689,73.85709447588239,73.75995213281541,74.24813379923503,74.39882012503487,74.66050053914388,74.04716621398927,64.1125,73.4,55.8,298.5833333333333,5.404166666666666,70.54166666666667,74.5040267308553,74.0,71.73512159621235,False,False,0.2804965533011049
2021-06-25,0.839773310497254,70.00208711457631,70.34134451366607,69.84407681601388,69.79292856307258,69.19737781161353,69.35713256835938,69.58909016200475,70.21271027701242,70.01453905741374,70.01543606531052,70.1792909912836,70.82027262506031,71.11824996584937,70.83283411661785,70.62900085449219,69.96563177562895,70.06633427937825,70.15965611594063,70.80698855263847,71.10272590092251,71.11824996584937,71.05453570229666,71.9046141601744,72.3633941287086,72.20666732788087,72.04433237711588,71.14789258866082,71.05099805196126,71.18683280944825,71.90366713205974,72.12892845698765,72.28723891122,72.17657210032145,73.28860997396802,73.98074958437965,73.39333432515463,73.15266799926758,72.28824967883882,72.28266665140788,72.45035811832973,73.0854518981207,73.62411855061849,73.82702297937303,73.53093942006429,74.87210567489502,75.36676610310873,74.65337204342798,74.40340009053548,73.56215698968796,74.04246655782065,74.10166618347168,74.80971722739082,75.24920865013485,75.36676610310873,75.06778901599702,63.583333333333336,72.9,57.3,315.875,4.366666666666666,73.75,76.09076224433052,76.0,72.12743315283582,True,True,0.2704190393913183
